"fn","file","test","patches"
"axes_reliability","test-axes-reliability.R","M60: a rotated equally spaced set estimates (Strack type b)","axes-magnitude"
"ssm_analyze","test-ssm_montecarlo.R","seeded Monte Carlo output matches the pre-Z1 pin (engine refactor guard)","ssm-magnitude;ssm-wrap"
"ssm_draws","test-ssm_draws.R","shape B equals shape A applied to the per-row (e, x, y)","ssm-magnitude;ssm-wrap"
"ssm_parameters","test-ssm_sem.R","sem transform equals ssm_parameters() at equally spaced angles (sec. 8.2)","ssm-magnitude;ssm-wrap"
"ssm_score","test-ssm_analysis.R","ssm_score works","ssm-magnitude;ssm-wrap"
"ssm_sem_syntax","test-ssm_sem_syntax.R","ssm_sem_syntax() returns a string carrying the weights attribute (§3.5)","semweights-magnitude"
